6864827,19770425,11SEP2017:07:29:12
6112603,19770430,11SEP2017:07:29:24
6782069,19770870,11SEP2017:07:47:26
2633852,19770977,11SEP2017:07:51:35
6864312,19771251,11SEP2017:08:00:57
5867032,19771611,11SEP2017:08:10:43
2464227,19771817,11SEP2017:08:16:30
6861954,19771853,11SEP2017:08:17:20
6865226,19771921,11SEP2017:08:19:10
6865288,19772329,11SEP2017:08:30:33
6865387,19772648,11SEP2017:08:38:41
6865460,19772705,11SEP2017:08:40:14
6496860,19772720,11SEP2017:08:40:40
4176197,19772852,11SEP2017:08:43:58
4129228,19772878,11SEP2017:08:44:34
3046962,19772888,11SEP2017:08:44:45
5798193,19772903,11SEP2017:08:45:09
1446791,19773169,11SEP2017:08:51:55
3519975,19773343,11SEP2017:08:56:42
5333253,19773392,11SEP2017:08:57:52
6767296,19773481,11SEP2017:09:00:11
6865603,19773567,11SEP2017:09:02:10
6865656,19773582,11SEP2017:09:02:36
6865660,19773699,11SEP2017:09:05:40
6865648,19773770,11SEP2017:09:07:24
5640800,19774058,11SEP2017:09:13:36
5419867,19774102,11SEP2017:09:14:36
2784137,19774255,11SEP2017:09:17:57
6865793,19774376,11SEP2017:09:20:19
6865889,19774416,11SEP2017:09:21:11
6865666,19774462,11SEP2017:09:22:19
6865844,19774529,11SEP2017:09:23:40
6553984,19774606,11SEP2017:09:25:06
6832667,19774614,11SEP2017:09:25:12
4568400,19775136,11SEP2017:09:36:29
1971799,19775208,11SEP2017:09:37:51
5437260,19775365,11SEP2017:09:40:50
1721912,19775482,11SEP2017:09:43:27
6855700,19775490,11SEP2017:09:43:36
6865351,19775577,11SEP2017:09:45:16
6294616,19775765,11SEP2017:09:49:14
6866042,19775844,11SEP2017:09:50:48
6866109,19775871,11SEP2017:09:51:25
1510297,19775965,11SEP2017:09:53:55
6861296,19775981,11SEP2017:09:54:09
1448524,19776018,11SEP2017:09:54:58
6866255,19776043,11SEP2017:09:55:18
493046,19776114,11SEP2017:09:56:49
6866146,19776121,11SEP2017:09:57:02
3750129,19776469,11SEP2017:10:03:40
549907,19776645,11SEP2017:10:06:40
1073539,19777005,11SEP2017:10:12:35
6862774,19777016,11SEP2017:10:12:47
6691820,19777185,11SEP2017:10:15:27
1920212,19777386,11SEP2017:10:18:51
3088371,19777482,11SEP2017:10:20:31
4532636,19777485,11SEP2017:10:20:32
3495247,19777490,11SEP2017:10:20:35
6866430,19777510,11SEP2017:10:20:45
6357843,19777570,11SEP2017:10:21:29
6463377,19777598,11SEP2017:10:22:04
6240030,19777610,11SEP2017:10:22:17
4874818,19777704,11SEP2017:10:23:33
2836169,19777809,11SEP2017:10:25:04
6866700,19778101,11SEP2017:10:28:55
6866667,19778264,11SEP2017:10:31:19
6866763,19778623,11SEP2017:10:36:07
2182739,19778626,11SEP2017:10:36:08
6839635,19778718,11SEP2017:10:37:26
3697225,19778814,11SEP2017:10:39:00
3032145,19778936,11SEP2017:10:40:57
1199802,19779011,11SEP2017:10:42:03
4113072,19779019,11SEP2017:10:42:09
5863543,19779100,11SEP2017:10:43:28
1899045,19779221,11SEP2017:10:45:17
2628400,19779251,11SEP2017:10:45:43
2393610,19779307,11SEP2017:10:46:43
1648667,19779330,11SEP2017:10:47:01
6866949,19779402,11SEP2017:10:48:08
1806529,19779818,11SEP2017:10:54:20
1012083,19779954,11SEP2017:10:56:19
6866884,19779979,11SEP2017:10:56:42
6867150,19779990,11SEP2017:10:56:54
4351360,19780055,11SEP2017:10:57:49
6622424,19780067,11SEP2017:10:57:57
6498478,19780179,11SEP2017:10:59:37
6840679,19780582,11SEP2017:11:06:09
351300,19780857,11SEP2017:11:09:47
3709397,19780995,11SEP2017:11:11:54
6611330,19781043,11SEP2017:11:12:44
5958962,19781193,11SEP2017:11:15:12
2729265,19781199,11SEP2017:11:15:16
6867401,19781244,11SEP2017:11:15:57
1625485,19781385,11SEP2017:11:18:05
2333159,19781478,11SEP2017:11:19:28
6867702,19781532,11SEP2017:11:20:15
6867490,19781554,11SEP2017:11:20:28
2573127,19781561,11SEP2017:11:20:35
5017508,19781667,11SEP2017:11:22:15
3101994,19781687,11SEP2017:11:22:32
3926258,19781702,11SEP2017:11:22:44
6867786,19781850,11SEP2017:11:25:20
5011926,19782165,11SEP2017:11:30:07
6867811,19782242,11SEP2017:11:31:16
6867830,19782445,11SEP2017:11:34:54
1292692,19782534,11SEP2017:11:36:13
6867958,19782773,11SEP2017:11:40:23
6867893,19782780,11SEP2017:11:40:32
5587052,19782790,11SEP2017:11:40:36
6867822,19782844,11SEP2017:11:41:23
6867156,19782971,11SEP2017:11:43:31
3812522,19783088,11SEP2017:11:45:11
6864364,19783110,11SEP2017:11:45:30
6387106,19783311,11SEP2017:11:49:05
2362315,19783323,11SEP2017:11:49:16
6868192,19783349,11SEP2017:11:49:44
1727286,19783409,11SEP2017:11:50:35
4186600,19783736,11SEP2017:11:56:00
6868136,19783827,11SEP2017:11:57:42
6566734,19784001,11SEP2017:12:00:24
6868360,19784059,11SEP2017:12:01:28
6868159,19784167,11SEP2017:12:03:11
6868259,19784242,11SEP2017:12:04:17
3731209,19784277,11SEP2017:12:04:50
4109834,19784294,11SEP2017:12:05:11
6163542,19784450,11SEP2017:12:07:40
6868291,19784452,11SEP2017:12:07:42
6463832,19784500,11SEP2017:12:08:33
6860611,19784645,11SEP2017:12:10:56
4447924,19784690,11SEP2017:12:11:36
